estando
siendo
teniendo
yendo
queriend
pudiendo
sirviendo
diciendo
dando
oyendo
viendo
haciendo
poniendo
estudiando
tomando
hablando
comiendo
viviendo
vendiendo
abriendo
aprendiendo
entrando
mirando
lavando
gustando
llamando
usando
corriendo
permitiendo
