estar
ser
tener
ir
querer
poder
servir
venir
decir
dar
oír
ver
hacer
poner
estudiar
tomar
hablar
comer
vivir
vender
abrir
aprender
entrar
mirar
lavar
gustar
llamar
usar
leer
correr
permitir
