estado
estada
estados
estadas
sido
sida
sidos
sidas
tenido
tenida
tenidos
tenidas
ido
ida
idos
idas
queriendo
querienda
queriendos
queriendas
podido
podida
podidos
podidas
servido
servida
servidos
servidas
dicho
dicha
dichos
dichas
dado
dida
dados
didas
oído
oída
oídos
oídas
visto
vista
vistos
vistas
hecho
hecha
hechos
hechas
puesto
puesta
puestos
puestas
estutiado
estutiada
estutiados
estutiadas
tomado
tomada
tomados
tomadas
hablado
hablada
hablados
habladas
comido
comida
comidos
comidas
vivido
vivida
vividos
vividas
vendido
vendida
vendidos
vendidas
abierto
abierta
abiertos
abiertas
aprendido
aprendida
aprendidos
aprendidas
entrado
entrada
entrados
entradas
mirado
mirada
mirados
miradas
lavado
lavada
lavados
lavadas
gustado
gustada
gustados
gustadas
llamado
llamada
llamados
llamadas
usado
usada
usados
usadas
corrido
corrida
corridos
corridas
permitido
permitida
permitidos
permitidas
