estar
estoy, estás,está,estamos,estáis,están
estado,estada,estados,estadas
estando
estuve,estuviste,estuvo,estuvimos,estuvisteis,esutuvieron
estaba,estabas,estábamos,estabais,estaban
estaré,estarás,estará,estaremos,estaréis,estarán
